,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Solved,Removals,Costs,A/R,BC,BECCS,DACCS,DOCCS,EW,OA,SCS,Land,Energy,Water,Nitrogen,Phosphorous,BECCS_2050,A/R_2050,SCS_2050,BC_2050,DACCS_2050,EW_2050,OA_2050,DOCCS_2050,BECCS_2075,A/R_2075,SCS_2075,BC_2075,DACCS_2075,EW_2075,OA_2075,DOCCS_2075,BECCS_2100,A/R_2100,SCS_2100,BC_2100,DACCS_2100,EW_2100,OA_2100,DOCCS_2100,BECCS_removed,A/R_removed,SCS_removed,BC_removed,DACCS_removed,EW_removed,OA_removed,DOCCS_removed
1368,4.7,2.5,4.5,4.767,2040.0,0.09,0.04,700000000.0,-0.063,-0.033,0.117,0.15,0.094,0.039,0.033,-0.181,500000000000.0,3720000000.0,2190000000.0,4270000000.0,8000000000.0,7300000000.0,3000000000.0,2400000000.0,2120000000.0,4000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,6.467,6.367,4.5,4.767,2030.0,0.08,0.17,300000000.0,-0.091,-0.033,-0.15,0.15,0.05,-0.006,-0.033,-0.157,800000000000.0,5870000000.0,4080000000.0,9030000000.0,8000000000.0,2800000000.0,3600000000.0,10800000000.0,1740000000.0,8000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,8.233,8.3,0.5,4.767,2035.0,0.08,0.17,900000000.0,-0.23,0.1,-0.05,0.05,0.05,0.028,-0.033,-0.181,700000000000.0,4150000000.0,930000000.0,9030000000.0,14000000000.0,8200000000.0,3200000000.0,8000000000.0,2120000000.0,8000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1371,6.467,6.367,8.5,0.7,2035.0,0.08,0.17,900000000.0,-0.119,0.017,-0.117,0.15,0.05,0.028,-0.017,-0.01,900000000000.0,2430000000.0,2190000000.0,4270000000.0,18500000000.0,8200000000.0,2200000000.0,9400000000.0,1550000000.0,4000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,10.0,6.367,8.5,4.767,2035.0,0.08,0.04,700000000.0,-0.008,-0.033,-0.05,0.117,0.094,0.006,0.067,-0.23,500000000000.0,5440000000.0,5340000000.0,9030000000.0,11000000000.0,9100000000.0,3200000000.0,5200000000.0,2120000000.0,8000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373,6.467,6.367,12.5,0.7,2050.0,0.09,0.04,600000000.0,-0.008,-0.05,-0.05,0.139,0.083,-0.05,0.067,-0.059,500000000000.0,3720000000.0,5340000000.0,11410000000.0,15500000000.0,4600000000.0,2200000000.0,12200000000.0,1170000000.0,16000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,8.233,6.367,0.5,0.7,2040.0,0.09,0.17,300000000.0,0.02,0.067,-0.05,0.05,0.072,-0.039,0.017,-0.059,600000000000.0,4150000000.0,2820000000.0,3080000000.0,14000000000.0,2800000000.0,2400000000.0,5200000000.0,1930000000.0,8000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1375,10.0,2.5,12.5,2.733,2050.0,0.08,0.105,300000000.0,-0.063,0.017,-0.15,0.139,0.094,-0.017,0.083,-0.132,500000000000.0,4580000000.0,930000000.0,11410000000.0,15500000000.0,7300000000.0,2400000000.0,13600000000.0,2310000000.0,4000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1376,8.233,8.3,0.5,4.767,2050.0,0.09,0.17,900000000.0,-0.119,0.017,-0.05,0.117,0.117,-0.028,0.083,-0.034,700000000000.0,4580000000.0,2190000000.0,700000000.0,15500000000.0,9100000000.0,2200000000.0,5200000000.0,2310000000.0,12000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377,4.7,2.5,4.5,4.767,2040.0,0.08,0.17,600000000.0,-0.063,-0.033,-0.083,0.15,0.061,0.006,0.083,-0.108,1100000000000.0,5010000000.0,930000000.0,700000000.0,9500000000.0,3700000000.0,3000000000.0,12200000000.0,1170000000.0,8000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
