future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Solved,Removals,Costs,A/R,BC,BECCS,DACCS,DOCCS,EW,OA,SCS,Land,Energy,Water,Nitrogen,Phosphorous,BECCS_2050,A/R_2050,SCS_2050,BC_2050,DACCS_2050,EW_2050,OA_2050,DOCCS_2050,BECCS_2075,A/R_2075,SCS_2075,BC_2075,DACCS_2075,EW_2075,OA_2075,DOCCS_2075,BECCS_2100,A/R_2100,SCS_2100,BC_2100,DACCS_2100,EW_2100,OA_2100,DOCCS_2100,BECCS_removed,A/R_removed,SCS_removed,BC_removed,DACCS_removed,EW_removed,OA_removed,DOCCS_removed
1793,8.233,4.433,12.5,2.733,2045,0.07,0.04,200000000,-0.174,0.033,-0.083,0.05,0.139,-0.028,0.05,-0.01,6E+11,3290000000,2820000000,3080000000,17000000000,7300000000,3000000000,8000000000,2120000000,4000000000,1,6E+11,8.88306E+12,2780000000,2820000000,1820000,4000000000,1,416326588,8000000000,2120000000,200000000,3E+11,93283.92126,3298.182026,935.0366818,0,800000000,2119999999,0,0,0,0,0,0,800000000,2119999999,1693679290,2499989999,0,0,0,0,800000000,2119999999,2819500000,3999990000,416326587,7999999999,0,27300000,1.92907E+11,1.174E+11,64878396450,79236128737,4163265890,1.41388E+11,10
1794,6.467,4.433,0.5,0.7,2045,0.09,0.105,800000000,-0.008,0.033,0.117,0.05,0.094,-0.05,0.033,-0.181,7E+11,3720000000,5340000000,3080000000,15500000000,4600000000,2400000000,10800000000,1930000000,8000000000,1,7E+11,9.77145E+12,3720000000,5340000000,3080000000,4920000000,1,1,10800000000,1930000000,686736000,1.96888E+11,156604.9813,2909.885142,1068.454587,0,240146234,0,0,0,0,0,0,3078180000,1060146234,1929999999,0,2499989999,0,0,0,3078180000,1740000000,1929999999,5339500000,4919990000,0,10799999999,0,1.05827E+11,1.98007E+11,77200000010,69307500000,1.109E+11,10,1.38758E+11,10
1795,6.467,8.3,0.5,2.733,2040,0.09,0.105,900000000,-0.174,0,0.05,0.061,0.15,0.05,0.1,-0.059,1.1E+12,4150000000,3450000000,11410000000,15500000000,8200000000,3600000000,3800000000,2120000000,16000000000,1,1.1E+12,1.67536E+13,4150000000,3450000000,5624556223,11628024194,1,3600000000,3800000000,2120000000,900000000,4.36919E+11,248288.5009,5111.167225,1800.286127,481588408,1416490928,2119999999,0,0,0,0,0,5622736223,1986490928,2119999999,2787343691,3106165235,3599999999,3799999999,0,5622736223,2170000000,2119999999,3449500000,11628014194,3599999999,3799999999,0,2.10348E+11,2.63057E+11,1.484E+11,84385936915,1.89809E+11,90000000010,1.14E+11,10
1796,8.233,8.3,0.5,0.7,2030,0.09,0.105,200000000,-0.091,0.017,0.117,0.106,0.083,0.05,-0.017,-0.083,1E+12,2430000000,4080000000,5460000000,8000000000,3700000000,3400000000,2400000000,980000000,12000000000,1,1E+12,2.17737E+13,2194688327,4080000000,598543417.5,8000000000,1,3400000000,2400000000,980000000,200000000,3.4622E+11,78678.19405,3712.640732,1167.314626,498128686,214688327,979999999,4079500000,899183968,3399999999,0,0,596723418,214688327,979999999,4079500000,6877201507,3399999999,2399999999,0,596723418,214688327,979999999,4079500000,7999990000,3399999999,2399999999,0,11998168351,1.4645E+11,73500000010,2.32308E+11,2.68411E+11,1.71334E+11,96000000010,10
1797,4.7,4.433,12.5,6.8,2045,0.09,0.105,400000000,-0.202,0.1,-0.017,0.15,0.061,0.039,-0.033,-0.059,4E+11,2000000000,1560000000,700000000,18500000000,3700000000,2400000000,12200000000,600000000,16000000000,1,4E+11,4.97281E+12,2000000000,1560000000,1820000,12500000000,1,1,1,600000000,252500000,2.9375E+11,63339.13464,816.2702721,305.1369727,0,0,320012562,0,0,0,0,0,0,19999999,599999999,0,4366589487,0,0,0,0,20000000,599999999,1559500000,12499990000,0,0,0,27300000,1.294E+11,28600062825,7807500000,2.34165E+11,10,10,10
1798,8.233,4.433,12.5,6.8,2050,0.09,0.105,700000000,-0.008,0.083,-0.083,0.106,0.072,-0.028,-0.017,-0.157,8E+11,2860000000,4080000000,3080000000,11000000000,7300000000,3600000000,2400000000,2120000000,12000000000,1,8E+11,1.47941E+13,2860000000,4080000000,3080000000,7287754446,1,1,1,2120000000,623068975.8,3E+11,171595.9337,5770.754089,1818.393097,0,880000000,2119999999,1380478029,160140063,0,0,0,3078180000,880000000,2119999999,4079500000,1737440868,0,0,0,3078180000,880000000,2119999999,4079500000,7287744446,0,0,0,1.20327E+11,2.119E+11,1.59E+11,1.89517E+11,1.19255E+11,10,9.999993268,10
1799,6.467,8.3,12.5,4.767,2040,0.07,0.04,1000000000,-0.036,0.1,0.05,0.072,0.061,-0.006,0.1,-0.083,7E+11,2860000000,3450000000,3080000000,17000000000,2800000000,2400000000,8000000000,600000000,4000000000,1,7E+11,1.10274E+13,2860000000,3450000000,3080000000,920000000,1,2400000000,8000000000,600000000,328736000,3.70428E+11,172773.2027,2350.177934,1027.298205,0,860000000,599999999,0,0,0,0,0,3078180000,880000000,599999999,3374000536,919990000,0,5522004459,0,3078180000,880000000,599999999,3449500000,919990000,2399999999,7999999999,0,1.29927E+11,2.036E+11,39000000010,90252505362,23000150000,24000000010,1.9022E+11,10
1800,4.7,8.3,0.5,2.733,2030,0.09,0.105,900000000,-0.202,0.017,-0.117,0.083,0.094,0.028,0,-0.132,1E+12,4150000000,4080000000,9030000000,8000000000,2800000000,3800000000,9400000000,1930000000,8000000000,1,1E+12,1.52776E+13,4150000000,4080000000,1820000,8000000000,1,3800000000,9400000000,1930000000,419900000,3.25951E+11,122917.6922,3559.17889,1078.14669,0,1200000000,1929999999,0,0,0,0,0,0,2020000000,1929999999,2499500000,7999990000,0,0,0,0,2170000000,1929999999,4079500000,7999990000,3799999999,9399999999,0,27300000,2.524E+11,1.158E+11,94107500000,2.95665E+11,76000000010,1.66E+11,10
1801,8.233,6.367,4.5,6.8,2045,0.08,0.17,800000000,-0.23,0.05,-0.05,0.094,0.094,0.006,0.017,-0.108,8E+11,2000000000,5970000000,1890000000,9500000000,1900000000,3800000000,13600000000,1170000000,16000000000,1,8E+11,1.5386E+13,2000000000,5970000000,1890000000,3421352316,1,3800000000,5000000000,1170000000,501143843.4,3.73476E+11,116087.6628,4655.452823,1529.962802,0,20000000,1169999999,2395096737,262157806,0,0,0,1888180000,20000000,1169999999,5969500000,2008027824,1190882176,0,0,1888180000,20000000,1169999999,5969500000,3421342316,3799999999,4999999999,0,75627300000,1.501E+11,87750000010,2.75263E+11,84391470383,87908821783,38958940446,10
1802,8.233,8.3,8.5,4.767,2045,0.09,0.04,300000000,-0.091,0.033,0.15,0.083,0.072,-0.05,0.1,-0.157,8E+11,4150000000,2190000000,700000000,5000000000,3700000000,3400000000,6600000000,1740000000,16000000000,1,8E+11,1.66981E+13,3023030466,2190000000,700000000,4999989996,1,243304053.6,6600000000,1740000000,300000000,3.73476E+11,135696.2434,4570.965884,1413.655539,698180000,1043030466,1739999999,2189500000,3,0,452768028,0,698180000,1043030466,1739999999,2189500000,3,0,4592226810,0,698180000,1043030466,1739999999,2189500000,4999979996,243304053,6599999999,0,52490900000,2.18673E+11,1.305E+11,1.54453E+11,51231066599,1216520278,1.91435E+11,10
